epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9219,2.34597,3.74253,1.6037,0.00248,0.36121,0.04254,0.01817,2.15161,4.3004,1.6625,1.667e-05,1.667e-05,1.667e-05
2,47.0905,2.19479,3.60551,1.71798,0.00255,0.36534,0.0513,0.02479,2.10293,4.21426,1.57275,4.95149e-05,4.95149e-05,4.95149e-05
3,71.3339,1.98246,3.4824,1.54014,0.00446,0.43145,0.09762,0.05624,2.02927,4.09847,1.47074,8.16997e-05,8.16997e-05,8.16997e-05
4,93.1768,1.86314,3.46126,1.38827,0.00685,0.53525,0.14468,0.09208,1.83295,3.9446,1.33105,0.000113224,0.000113224,0.000113224
5,111.63,1.88996,3.13982,1.3734,0.00604,0.5316,0.24097,0.15356,1.75306,3.8705,1.25569,0.000144089,0.000144089,0.000144089
6,128.619,1.54109,2.86285,1.41399,0.00548,0.5615,0.2893,0.22527,1.63948,3.78991,1.17794,0.000174293,0.000174293,0.000174293
7,148.833,1.71357,2.39335,1.27864,0.00574,0.56976,0.2819,0.22074,1.67892,3.71722,1.15799,0.000203837,0.000203837,0.000203837
8,164.408,1.57462,2.09546,1.27318,0.00575,0.56976,0.29169,0.22718,1.696,3.61968,1.15135,0.000232722,0.000232722,0.000232722
9,180.48,1.73371,2.1831,1.27915,0.0052,0.55323,0.265,0.2072,1.68431,3.60612,1.1458,0.000260946,0.000260946,0.000260946
10,196.77,1.91092,2.34053,1.33534,0.00435,0.52844,0.26394,0.19769,1.67636,3.60071,1.13049,0.000288509,0.000288509,0.000288509
11,211.782,1.64484,1.96992,1.40369,0.00449,0.53257,0.27129,0.20201,1.66481,3.5991,1.12064,0.000315413,0.000315413,0.000315413
12,227.219,1.83308,2.24185,1.41268,0.00449,0.53257,0.29717,0.22034,1.67588,3.57472,1.1229,0.000341657,0.000341657,0.000341657
13,242.39,1.85205,1.86976,1.23806,0.00435,0.52844,0.33667,0.24132,1.72171,3.55504,1.13456,0.00036724,0.00036724,0.00036724
14,257.583,1.75629,1.78727,1.21654,0.76777,0.29992,0.32686,0.24228,1.69736,3.51524,1.12237,0.000392163,0.000392163,0.000392163
15,272.471,1.69214,1.89314,1.3199,0.91617,0.14619,0.31862,0.22975,1.6866,3.4969,1.1212,0.000416427,0.000416427,0.000416427
16,287.685,2.02572,1.90989,1.27974,1,0.07491,0.33381,0.23775,1.69449,3.50719,1.11742,0.00044003,0.00044003,0.00044003
