epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,146.593,0.67504,0.98932,0.96642,0.00333,1,0.83,0.78054,0.46343,2.7149,1.08356,0.000502632,0.000502632,0.000502632
56,149.003,0.68136,1.10808,1.13921,0.00333,1,0.83,0.78054,0.46343,2.7149,1.08356,0.00050105,0.00050105,0.00050105
57,151.406,0.70237,0.97965,0.99703,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000499072,0.000499072,0.000499072
58,153.856,0.91958,1.10493,1.14105,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000496698,0.000496698,0.000496698
59,156.638,0.98655,1.4757,1.3303,0.6966,1,0.9125,0.82966,0.47774,2.533,1.12124,0.000493928,0.000493928,0.000493928
60,159.098,1.02061,1.57221,1.51012,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.000490762,0.000490762,0.000490762
61,161.611,0.80348,1.34158,1.28165,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.0004872,0.0004872,0.0004872
62,164.143,1.06087,1.38738,1.29355,0.74727,0.98908,0.9125,0.63082,0.69889,2.36886,1.24587,0.000483242,0.000483242,0.000483242
63,166.916,0.79711,1.08782,1.32141,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000478888,0.000478888,0.000478888
64,169.447,0.51322,1.00275,0.97257,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000474138,0.000474138,0.000474138
65,171.856,0.83109,1.05198,0.96349,1,0.96887,0.995,0.79657,0.66303,1.9891,1.21055,0.000468992,0.000468992,0.000468992
66,174.159,0.47321,0.81091,0.98438,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.00046345,0.00046345,0.00046345
67,176.447,0.7486,1.10869,1.21654,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.000457512,0.000457512,0.000457512
68,178.78,0.80172,1.1748,1.34801,0.99769,1,0.995,0.81911,0.69296,1.82318,1.2401,0.000451178,0.000451178,0.000451178
69,181.145,0.4894,0.96611,1.00235,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.000444448,0.000444448,0.000444448
70,183.564,0.464,0.99455,1.0498,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.000437322,0.000437322,0.000437322
71,185.893,0.60278,1.0327,0.9347,1,0.98251,0.995,0.90707,0.56417,1.76459,1.07231,0.0004298,0.0004298,0.0004298
72,188.581,0.58081,0.87023,1.01638,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000421882,0.000421882,0.000421882
73,191.187,0.51951,0.76101,1.01462,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000413568,0.000413568,0.000413568
74,193.377,0.84709,2.13856,1.26461,1,0.98881,0.995,0.86254,0.60581,1.7288,1.05362,0.000404858,0.000404858,0.000404858
75,195.719,0.72918,0.96579,1.0768,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.000395752,0.000395752,0.000395752
76,197.938,0.64962,1.02095,1.02672,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.00038625,0.00038625,0.00038625
77,200.096,0.57867,1.27073,1.03756,0.98642,1,0.995,0.77017,0.59205,1.77984,1.05948,0.000376352,0.000376352,0.000376352
78,202.477,0.42338,0.82747,0.96352,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000366058,0.000366058,0.000366058
79,205.049,0.67129,0.93215,1.1597,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000355368,0.000355368,0.000355368
80,207.996,0.53771,0.9712,0.90105,0.97907,1,0.995,0.80757,0.53208,1.80613,1.06515,0.000344282,0.000344282,0.000344282
81,211.449,0.44207,0.96694,0.96216,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.0003328,0.0003328,0.0003328
82,213.803,0.70635,1.18986,1.19457,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.000320922,0.000320922,0.000320922
83,215.972,0.74441,1.13894,1.17532,0.98062,1,0.995,0.81878,0.5643,1.79654,1.09366,0.000308648,0.000308648,0.000308648
84,218.274,0.99553,1.33907,1.26146,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000295978,0.000295978,0.000295978
85,220.625,0.48019,0.83139,1.06028,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000282912,0.000282912,0.000282912
86,223.126,0.72494,1.08943,1.14048,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.00026945,0.00026945,0.00026945
87,225.604,0.60987,0.87785,1.126,0.98672,1,0.995,0.81878,0.57068,1.78576,1.1161,0.000255592,0.000255592,0.000255592
88,227.918,0.69366,1.10688,1.20758,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000241338,0.000241338,0.000241338
89,230.11,0.72927,1.2211,1.26731,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000226688,0.000226688,0.000226688
90,232.332,0.74447,1.11504,1.18022,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.000211642,0.000211642,0.000211642
91,234.682,0.51638,1.41793,1.01991,0.98715,1,0.995,0.81878,0.5094,1.63254,1.08284,0.0001962,0.0001962,0.0001962
92,237.054,0.62517,1.63042,1.13782,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000180362,0.000180362,0.000180362
93,239.379,0.52619,1.73551,0.85187,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000164128,0.000164128,0.000164128
94,242.035,0.46558,1.69324,1.06679,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000147498,0.000147498,0.000147498
95,244.242,0.46671,1.42594,0.98662,0.98858,1,0.995,0.84111,0.50225,1.54314,1.06516,0.000130472,0.000130472,0.000130472
96,246.56,0.48678,1.25283,0.91299,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,0.00011305,0.00011305,0.00011305
97,249.322,0.46349,1.38631,1.06587,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,9.5232e-05,9.5232e-05,9.5232e-05
98,252.998,0.35312,1.28107,1.06613,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,7.7018e-05,7.7018e-05,7.7018e-05
99,256.167,0.38657,1.48002,1.00496,0.98156,1,0.995,0.88507,0.45955,1.41758,1.02643,5.8408e-05,5.8408e-05,5.8408e-05
100,258.778,0.28849,1.26794,0.87091,0.98046,1,0.995,0.9067,0.44636,1.35966,1.01487,3.9402e-05,3.9402e-05,3.9402e-05
