epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,62.1527,0.74211,1.49242,1.21378,0.00333,1,0.995,0.796,0.77859,2.60499,1.27588,0.000295848,0.000295848,0.000295848
20,64.9158,0.82679,1.1518,1.21334,0.00333,1,0.995,0.796,0.77859,2.60499,1.27588,0.000308522,0.000308522,0.000308522
21,67.5044,0.62841,1.29806,1.18422,0.00333,1,0.995,0.81279,0.66467,2.61698,1.22719,0.0003208,0.0003208,0.0003208
22,69.8021,1.01144,1.43753,1.2433,0.00333,1,0.995,0.81279,0.66467,2.61698,1.22719,0.000332682,0.000332682,0.000332682
23,72.3241,0.61037,1.35076,1.14022,0.00333,1,0.9125,0.68274,0.59922,2.82862,1.22505,0.000344168,0.000344168,0.000344168
24,74.7476,0.56565,1.06321,1.09371,0.00333,1,0.9125,0.68274,0.59922,2.82862,1.22505,0.000355258,0.000355258,0.000355258
25,77.3268,1.01891,1.33915,1.4008,0.00333,1,0.9125,0.66132,0.65183,2.92552,1.29169,0.000365952,0.000365952,0.000365952
26,79.6865,0.71362,1.11616,1.20577,0.00333,1,0.9125,0.66132,0.65183,2.92552,1.29169,0.00037625,0.00037625,0.00037625
27,82.0905,1.11735,1.54467,1.7185,0.00333,1,0.775,0.48364,0.76165,3.06016,1.37676,0.000386152,0.000386152,0.000386152
28,84.5343,0.97161,1.2269,1.25634,0.00333,1,0.775,0.48364,0.76165,3.06016,1.37676,0.000395658,0.000395658,0.000395658
29,87.0338,0.43229,1.11942,1.05878,0.00333,1,0.995,0.60862,0.76235,3.00676,1.33828,0.000404768,0.000404768,0.000404768
30,89.6356,0.72476,1.28622,1.10445,0.00333,1,0.995,0.60862,0.76235,3.00676,1.33828,0.000413482,0.000413482,0.000413482
31,92.3165,0.99862,1.08311,1.11596,0.00333,1,0.995,0.82954,0.66127,2.85595,1.2767,0.0004218,0.0004218,0.0004218
32,95.2354,0.48566,1.20574,0.99972,0.00333,1,0.995,0.82954,0.66127,2.85595,1.2767,0.000429722,0.000429722,0.000429722
33,98.547,0.74987,1.38788,1.18018,0.00333,1,0.995,0.8955,0.57101,2.71927,1.24107,0.000437248,0.000437248,0.000437248
34,101.67,0.82573,1.07017,1.16895,0.00333,1,0.995,0.8955,0.57101,2.71927,1.24107,0.000444378,0.000444378,0.000444378
35,104.578,0.61092,1.21994,1.07116,0.00333,1,0.995,0.86274,0.61236,2.74662,1.32371,0.000451112,0.000451112,0.000451112
36,107.252,0.51538,1.11421,1.149,0.00333,1,0.995,0.86274,0.61236,2.74662,1.32371,0.00045745,0.00045745,0.00045745
37,109.916,0.95705,1.31402,1.32974,0.00333,1,0.995,0.85154,0.58793,2.72281,1.27405,0.000463392,0.000463392,0.000463392
38,112.448,0.77455,1.12074,1.15466,0.00333,1,0.995,0.85154,0.58793,2.72281,1.27405,0.000468938,0.000468938,0.000468938
39,115.29,0.91781,1.45533,1.16003,1,0.94563,0.995,0.82457,0.79283,2.79955,1.42089,0.000474088,0.000474088,0.000474088
40,117.745,0.75034,1.20448,1.10499,1,0.94563,0.995,0.82457,0.79283,2.79955,1.42089,0.000478842,0.000478842,0.000478842
41,120.415,0.8852,1.51087,1.22398,1,0.71624,0.995,0.70062,0.87343,2.70662,1.509,0.0004832,0.0004832,0.0004832
42,122.717,0.58965,1.01727,1.07589,1,0.71624,0.995,0.70062,0.87343,2.70662,1.509,0.000487162,0.000487162,0.000487162
43,125.311,0.78347,1.24613,1.24928,1,0.63705,0.995,0.73359,0.78724,2.6364,1.56591,0.000490728,0.000490728,0.000490728
44,127.83,0.71982,1.2609,1.13913,1,0.63705,0.995,0.73359,0.78724,2.6364,1.56591,0.000493898,0.000493898,0.000493898
45,130.453,0.50937,0.98194,0.98673,1,0.59101,0.995,0.81279,0.73388,2.71938,1.46596,0.000496672,0.000496672,0.000496672
46,133.146,0.78083,1.12425,1.21562,1,0.59101,0.995,0.81279,0.73388,2.71938,1.46596,0.00049905,0.00049905,0.00049905
47,135.884,0.75619,1.51379,1.19631,1,0.79659,0.995,0.82957,0.74711,2.65363,1.36908,0.000501032,0.000501032,0.000501032
48,138.346,1.20672,1.59854,1.5119,1,0.79659,0.995,0.82957,0.74711,2.65363,1.36908,0.000502618,0.000502618,0.000502618
49,140.832,0.94302,1.44483,1.458,0.00545,1,0.995,0.82954,0.69895,2.63519,1.21635,0.000503808,0.000503808,0.000503808
50,143.28,0.88692,1.48751,1.33125,0.00545,1,0.995,0.82954,0.69895,2.63519,1.21635,0.000504602,0.000504602,0.000504602
51,145.788,0.93526,1.17921,1.28172,0.00333,1,0.80643,0.72579,0.60741,2.77519,1.12971,0.000505,0.000505,0.000505
52,148.14,0.56214,1.01787,1.08404,0.00333,1,0.80643,0.72579,0.60741,2.77519,1.12971,0.000505002,0.000505002,0.000505002
53,150.545,0.73414,1.20648,1.12802,0.00333,1,0.80643,0.72579,0.60741,2.77519,1.12971,0.000504608,0.000504608,0.000504608
