epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,156.601,0.8573,1.36083,1.14842,0.86587,0.33333,0.63115,0.60155,0.50662,4.3941,1.02995,0.000493898,0.000493898,0.000493898
45,159.897,0.81885,1.20116,1.08745,1,0.59986,0.80643,0.7593,0.54613,4.06167,1.05491,0.000496672,0.000496672,0.000496672
46,163.895,0.69815,1.37138,1.32699,1,0.59986,0.80643,0.7593,0.54613,4.06167,1.05491,0.00049905,0.00049905,0.00049905
47,167.586,0.84945,1.2617,1.2236,1,0.65858,0.995,0.85712,0.46062,3.8688,1.01624,0.000501032,0.000501032,0.000501032
48,171.029,0.7985,1.20593,1.22504,1,0.65858,0.995,0.85712,0.46062,3.8688,1.01624,0.000502618,0.000502618,0.000502618
49,174.672,0.73111,1.26129,1.12842,0.70705,0.66667,0.9125,0.85477,0.44051,3.82166,0.99047,0.000503808,0.000503808,0.000503808
50,178.055,0.83786,1.66358,1.31961,0.70705,0.66667,0.9125,0.85477,0.44051,3.82166,0.99047,0.000504602,0.000504602,0.000504602
51,181.522,1.06571,1.3914,1.35095,1,0.63425,0.995,0.81905,0.52965,4.0845,1.11945,0.000505,0.000505,0.000505
52,185.131,0.54377,1.23443,1.03002,1,0.63425,0.995,0.81905,0.52965,4.0845,1.11945,0.000505002,0.000505002,0.000505002
53,188.513,0.96865,1.41084,1.29791,1,0.63425,0.995,0.81905,0.52965,4.0845,1.11945,0.000504608,0.000504608,0.000504608
54,192.385,0.97815,1.24712,1.28476,0.50594,0.33333,0.731,0.62216,0.57884,3.98128,1.15868,0.000503818,0.000503818,0.000503818
55,196.924,0.93724,1.50497,1.23018,0.50594,0.33333,0.731,0.62216,0.57884,3.98128,1.15868,0.000502632,0.000502632,0.000502632
56,200.418,0.79662,1.27792,1.33917,0.50594,0.33333,0.731,0.62216,0.57884,3.98128,1.15868,0.00050105,0.00050105,0.00050105
57,204.312,0.53428,1.06791,1.05666,1,0.64918,0.775,0.70905,0.65572,3.5925,1.27702,0.000499072,0.000499072,0.000499072
58,208.097,0.90904,1.46402,1.08225,1,0.64918,0.775,0.70905,0.65572,3.5925,1.27702,0.000496698,0.000496698,0.000496698
59,211.549,0.9953,1.21888,1.30552,1,0.64918,0.775,0.70905,0.65572,3.5925,1.27702,0.000493928,0.000493928,0.000493928
60,215.157,0.71434,1.46375,1.19897,0.98618,0.66667,0.78875,0.71867,0.63364,3.44763,1.4231,0.000490762,0.000490762,0.000490762
61,218.618,0.63608,0.99625,1.10375,0.98618,0.66667,0.78875,0.71867,0.63364,3.44763,1.4231,0.0004872,0.0004872,0.0004872
62,222.147,0.92844,1.12334,1.17913,0.98618,0.66667,0.78875,0.71867,0.63364,3.44763,1.4231,0.000483242,0.000483242,0.000483242
63,225.346,0.69881,1.24562,1.12789,0.97395,0.66667,0.9125,0.83003,0.67769,3.20064,1.65275,0.000478888,0.000478888,0.000478888
64,229.22,0.6036,1.6235,1.23357,0.97395,0.66667,0.9125,0.83003,0.67769,3.20064,1.65275,0.000474138,0.000474138,0.000474138
65,232.695,0.56296,1.11098,1.02845,0.97395,0.66667,0.9125,0.83003,0.67769,3.20064,1.65275,0.000468992,0.000468992,0.000468992
66,236.161,0.92233,1.75773,1.35967,1,0.98839,0.995,0.86303,0.55287,3.09482,1.4915,0.00046345,0.00046345,0.00046345
67,239.685,0.85081,1.96197,1.52188,1,0.98839,0.995,0.86303,0.55287,3.09482,1.4915,0.000457512,0.000457512,0.000457512
68,242.94,0.90203,1.06054,1.21795,1,0.98839,0.995,0.86303,0.55287,3.09482,1.4915,0.000451178,0.000451178,0.000451178
