epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1043.97,1.59223,1.34426,1.21137,0.61994,0.18423,0.41991,0.20073,1.59407,2.508,1.1259,0.000822003,0.000822003,0.000822003
43,1077.34,1.62875,1.38086,1.21032,0.61994,0.18423,0.41991,0.20073,1.59407,2.508,1.1259,0.000827782,0.000827782,0.000827782
44,1104.82,1.62921,1.38366,1.22801,0.64426,0.19132,0.39799,0.19426,1.58552,2.55328,1.10769,0.000832902,0.000832902,0.000832902
45,1123.8,1.5857,1.34156,1.20148,0.64426,0.19132,0.39799,0.19426,1.58552,2.55328,1.10769,0.000837361,0.000837361,0.000837361
46,1153.16,1.41658,1.2818,1.12655,0.56266,0.23601,0.41672,0.21661,1.60229,2.57159,1.10725,0.00084116,0.00084116,0.00084116
47,1173.59,1.5749,1.27162,1.11817,0.56266,0.23601,0.41672,0.21661,1.60229,2.57159,1.10725,0.000844299,0.000844299,0.000844299
48,1192.63,1.43664,1.24612,1.07695,0.69887,0.31653,0.48899,0.27209,1.58782,2.41105,1.09483,0.000846778,0.000846778,0.000846778
49,1213,1.57129,1.2554,1.11331,0.69887,0.31653,0.48899,0.27209,1.58782,2.41105,1.09483,0.000848596,0.000848596,0.000848596
50,1238.85,1.58594,1.30538,1.06382,0.67542,0.44153,0.62437,0.33983,1.57777,2.1332,1.08151,0.000849755,0.000849755,0.000849755
51,1268.56,1.42798,1.21822,1.0502,0.67542,0.44153,0.62437,0.33983,1.57777,2.1332,1.08151,0.000841835,0.000841835,0.000841835
52,1290.96,1.42719,1.29208,1.11689,0.79828,0.50827,0.71714,0.40268,1.53619,1.88172,1.06609,0.000825332,0.000825332,0.000825332
53,1318.65,1.36823,1.12494,1.0899,0.79828,0.50827,0.71714,0.40268,1.53619,1.88172,1.06609,0.000808828,0.000808828,0.000808828
54,1351.06,1.39203,1.14156,1.10348,0.78731,0.59678,0.71751,0.40624,1.50891,1.81932,1.05786,0.000792325,0.000792325,0.000792325
55,1381.91,1.37002,1.19922,1.09223,0.78731,0.59678,0.71751,0.40624,1.50891,1.81932,1.05786,0.000775822,0.000775822,0.000775822
56,1409.7,1.69664,1.36428,1.13729,0.77551,0.61571,0.73032,0.41973,1.49061,1.75893,1.06201,0.000759318,0.000759318,0.000759318
57,1439.04,1.63782,1.18318,1.08666,0.77551,0.61571,0.73032,0.41973,1.49061,1.75893,1.06201,0.000742815,0.000742815,0.000742815
58,1463.68,1.41335,1.06321,1.06878,0.84133,0.65443,0.77926,0.45476,1.46733,1.65882,1.05309,0.000726312,0.000726312,0.000726312
59,1501.23,1.39395,1.09661,1.08937,0.84133,0.65443,0.77926,0.45476,1.46733,1.65882,1.05309,0.000709809,0.000709809,0.000709809
